bios,bluetooth,link,name,network,processor,system,usb,video,wireless
Dell 0.4.77,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28314/20.04%20LTS,Dell Latitude 3520 (Core i3-1115G4),Intel Corp. Ethernet Connection (13) I219-V  (8086:15fc),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,Dell Latitude 5520,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.13,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202008-28134/20.04%20LTS,Dell Latitude 3410 (Core i3-8130U),Intel Corp. Ethernet Connection (10) I219-LM  (8086:0d4e),Intel Corp. Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,Dell Latitude 5420,"Intel Corp. Comet Lake PCH-LP USB 3.1 xHCI Host Controller  (8086:02ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)",Intel Corp. UHD Graphics  (8086:9b41),Intel Corp. Wireless-AC 9462  (8086:02f0)
Dell 0.5.45,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202104-28909/20.04%20LTS,Dell Latitude 3410 (Core i3-8130U),Intel Corp. Ethernet Connection (14) I219-LM  (8086:15f9),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f)","nVidia TU117M [GeForce MX450]  (10de:1f97),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Dell 0.3.22,Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202104-28913/20.04%20LTS,Dell Latitude 3410 (Core i3-8130U),Intel Corp. Ethernet Connection (14) I219-LM  (8086:15f9),Intel Corp. Intel(R) Xeon(R) W-11855M CPU @ 3.20GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f)",Intel Corp. 8086:9a70  (8086:9a70),Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Dell 0.4.23,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202001-27708/20.04%20LTS,Dell Latitude 3410 (Core i3-8130U),Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Core(TM) i9-10880H CPU @ 2.30GHz,Dell Precision 3551,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia GP107GLM [Quadro P620]  (10de:1cbd),Intel Corp. UHD Graphics  (8086:9bc4)",Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Dell 0.5.13,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202010-28335/20.04%20LTS,Dell Latitude 3420 (Core i7-1165G7),Intel Corp. Ethernet Connection (13) I219-V  (8086:15fc),Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,Dell Latitude 5420,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Dell 0.5.83,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28324/20.04%20LTS,Dell Latitude 3420 (Core i7-1165G7),,Intel Corp. 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,Dell Latitude 7320,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.0.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202101-28601/20.04%20LTS,Dell Latitude 3420 (Core i7-1165G7),"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117M [GeForce MX450]  (10de:1f97),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.45,Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202103-28887/20.04%20LTS,Dell Latitude 3320,Intel Corp. Ethernet Connection (14) I219-LM  (8086:15f9),Intel Corp. 11th Gen Intel(R) Core(TM) i5-11500H @ 2.90GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f)",Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60),Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Dell 0.2.3,,https://ubuntu.com/certified/202012-28579/20.04%20LTS,Dell Latitude 3320,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Dell Latitude 3520,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. 8086:9a78  (8086:9a78),Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Dell 0.4.77,Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202010-28296/20.04%20LTS,Dell Latitude 3410 (Core i3-10110U),"Realtek Semiconductor Co., Ltd. USB 10/100/1000 LAN  (0bda:8153)",Intel Corp. 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,Dell Latitude 5320,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Dell 1.0.0,Intel Corp. Wireless-AC 9260 Bluetooth Adapter  (8087:0025),https://ubuntu.com/certified/202004-27834/20.04%20LTS,Dell Inspiron 3511 (Core i7-1165G7),"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. Intel(R) Core(TM) i3-8130U CPU @ 2.20GHz,,Intel Corp. Sunrise Point-LP USB 3.0 xHCI Controller  (8086:9d2f),Intel Corp. UHD Graphics 620  (8086:5917),Intel Corp. Wireless-AC 9260  (8086:2526)
Dell 0.2.3,,https://ubuntu.com/certified/202012-28580/20.04%20LTS,Dell Inspiron 3511 (Core i7-1165G7),"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. Intel(R) Celeron(R) 6305 @ 1.80GHz,Dell Latitude 3420,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed),SanDisk 0781:55a3  (0781:55a3)",Intel Corp. 8086:9a78  (8086:9a78),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.4.77,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202010-28297/20.04%20LTS,Dell Inspiron 3515 (AMD Ryzen 3 3250U),,Intel Corp. 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Dell Latitude 5320,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.2.3,,https://ubuntu.com/certified/202101-28600/20.04%20LTS,Dell Inspiron 3515 (AMD Ryzen 3 3250U),"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,Dell Latitude 3420,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)","nVidia TU117M [GeForce MX450]  (10de:1f97),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.0.0,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202012-28576/20.04%20LTS,Dell Inspiron 3515 (AMD Ryzen 3 3250U),,Intel Corp. 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Dell 0.3.22,Intel Corp. 8087:0032  (8087:0032),https://ubuntu.com/certified/202103-28860/20.04%20LTS,Dell Inspiron 3511 (Core i5-1135G7),Intel Corp. Ethernet Connection (14) I219-LM  (8086:15f9),Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f)",Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60),Intel Corp. Wi-Fi 6 AX210/AX211/AX411 160MHz  (8086:2725)
Dell 0.2.6,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202001-27687/20.04%20LTS,Dell Inspiron 3511 (Core i5-1135G7),"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. Intel(R) Core(TM) i3-10110U CPU @ 2.10GHz,Dell Latitude 3410,Intel Corp. Comet Lake PCH-LP USB 3.1 xHCI Host Controller  (8086:02ed),"Intel Corp. UHD Graphics  (8086:9b41),Intel Corp. UHD Graphics  (8086:9b41)",Intel Corp. Wireless-AC 9462  (8086:02f0)
Dell 98.2.4,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202012-28575/20.04%20LTS,Dell Inspiron 3511 (Core i3-1005G1),,Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,Dell Latitude 3320,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. UHD Graphics  (8086:9a49),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.6.1,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202007-28039/20.04%20LTS,Dell Inspiron 3511 (Core i3-1005G1),,Intel Corp. 11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Dell Inspiron 5301,"Intel Corp. Tiger Lake-LP Thunderbolt USB Controller  (8086:9a13),Intel Corp. Tiger Lake-LP Thunderbolt NHI #0  (8086:9a1b),Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed)",Intel Corp. 8086:9a78  (8086:9a78),Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.2.6,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202001-27688/20.04%20LTS,Dell Inspiron 3511 (Core i3-1005G1),"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,Dell Latitude 3410,Intel Corp. Comet Lake PCH-LP USB 3.1 xHCI Host Controller  (8086:02ed),"nVidia GP108M [GeForce MX230]  (10de:1d11),nVidia GP108M [GeForce MX230]  (10de:1d11),Intel Corp. UHD Graphics  (8086:9b41),Intel Corp. UHD Graphics  (8086:9b41)",Intel Corp. Wireless-AC 9462  (8086:02f0)
Dell 0.4.9,"Realtek Semiconductor Co., Ltd. 0bda:c829  (0bda:c829)",https://ubuntu.com/certified/202104-28943/20.04%20LTS,Dell Inspiron 3501,,Intel Corp. Intel(R) Pentium(R) Gold 7505 @ 2.00GHz,,Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed),Intel Corp. 8086:9a78  (8086:9a78),"Realtek Semiconductor Co., Ltd. RTL8821CE 802.11ac PCIe Wireless Network Adapter  (10ec:c821)"
Dell 0.4.9,"Realtek Semiconductor Co., Ltd. 0bda:c829  (0bda:c829)",https://ubuntu.com/certified/202104-28929/20.04%20LTS,Dell Inspiron 3500,,"Advanced Micro Devices, Inc. AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx",,"Advanced Micro Devices [AMD] Raven USB 3.1  (1022:15e0),Advanced Micro Devices [AMD] Raven USB 3.1  (1022:15e1)","Advanced Micro Devices, Inc. [AMD/ATI] Picasso  (1002:15d8)","Realtek Semiconductor Co., Ltd. RTL8821CE 802.11ac PCIe Wireless Network Adapter  (10ec:c821)"
Dell 0.4.9,Atheros Communications 0cf3:e009  (0cf3:e009),https://ubuntu.com/certified/202104-28944/20.04%20LTS,Dell Inspiron 3500,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,,Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed),"nVidia GP107M [GeForce MX350]  (10de:1c94),Intel Corp. UHD Graphics  (8086:9a49)",Qualcomm Atheros QCA9377 802.11ac Wireless Network Adapter  (168c:0042)
Dell 0.4.9,Atheros Communications 0cf3:e009  (0cf3:e009),https://ubuntu.com/certified/202104-28922/20.04%20LTS,Dell Inspiron 3500,,"Advanced Micro Devices, Inc. AMD Ryzen 3 3250U with Radeon Graphics",,Advanced Micro Devices [AMD] Raven2 USB 3.1  (1022:15e5),"Advanced Micro Devices, Inc. [AMD/ATI] Picasso  (1002:15d8)",Qualcomm Atheros QCA9377 802.11ac Wireless Network Adapter  (168c:0042)
Dell 0.4.9,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202104-28942/20.04%20LTS,Dell Inspiron 3500,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed),"nVidia GP107M [GeForce MX350]  (10de:1c94),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 1.5.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202009-28247/20.04%20LTS,Dell Inspiron 3500,"Realtek Semiconductor Co., Ltd. 10ec:2502  (10ec:2502)",Intel Corp. Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Dell G3 3500,"nVidia TU116 USB 3.1 Host Controller  (10de:1aec),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia TU116M [GeForce GTX 1660 Ti Mobile]  (10de:2191),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 0.4.9,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202104-28941/20.04%20LTS,Dell Inspiron 3500,,Intel Corp. Intel(R) Core(TM) i3-1005G1 CPU @ 1.20GHz,,Intel Corp. Ice Lake-LP USB 3.1 xHCI Host Controller  (8086:34ed),Intel Corp. Iris Plus Graphics G1 (Ice Lake)  (8086:8a56),Intel Corp. Killer Wi-Fi 6 AX1650i 160MHz Wireless Network Adapter (201NGW)  (8086:34f0)
Dell 0.4.9,Atheros Communications 0cf3:e007  (0cf3:e007),https://ubuntu.com/certified/202104-28930/20.04%20LTS,Dell Inspiron 3500,,"Advanced Micro Devices, Inc. AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx",,"Advanced Micro Devices [AMD] Raven USB 3.1  (1022:15e0),Advanced Micro Devices [AMD] Raven USB 3.1  (1022:15e1)","Advanced Micro Devices, Inc. [AMD/ATI] Picasso  (1002:15d8)",Qualcomm Atheros Killer N1525 Wireless-AC  (168c:003e)
Dell 1.5.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202009-28248/20.04%20LTS,Dell Inspiron 3500,"Realtek Semiconductor Co., Ltd. 10ec:2502  (10ec:2502)",Intel Corp. Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,Dell G3 3500,"nVidia TU106 USB 3.1 Host Controller  (10de:1ada),Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia TU106 [GeForce RTX 2060]  (10de:1f15),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 1.0.0,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202009-28233/20.04%20LTS,Dell Inspiron 3500,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Dell Inspiron 3501,Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed),"nVidia GP108M [GeForce MX330]  (10de:1d16),Intel Corp. UHD Graphics  (8086:9a49)",Intel Corp. Wi-Fi 6 AX201  (8086:a0f0)
Dell 0.5.2,Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)  (8087:0aaa),https://ubuntu.com/certified/202006-27975/20.04%20LTS,Dell Inspiron 3500,"Realtek Semiconductor Co., Ltd. RTL8101E/RTL8102E PCI Express Fast Ethernet controller  (10ec:8136)",Intel Corp. Intel(R) Core(TM) i3-1005G1 CPU @ 1.20GHz,Dell Inspiron 3501,Intel Corp. Ice Lake-LP USB 3.1 xHCI Host Controller  (8086:34ed),Intel Corp. Iris Plus Graphics G1 (Ice Lake)  (8086:8a56),Intel Corp. Killer Wi-Fi 6 AX1650i 160MHz Wireless Network Adapter (201NGW)  (8086:34f0)
Dell 1.0.0,"Realtek Semiconductor Co., Ltd. 0bda:d739  (0bda:d739)",https://ubuntu.com/certified/202009-28234/20.04%20LTS,Dell Inspiron 3500,"Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller  (10ec:8168)",Intel Corp. 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,Dell Inspiron 3501,Intel Corp. Tiger Lake-LP USB 3.2 Gen 2x1 xHCI Host Controller  (8086:a0ed),Intel Corp. UHD Graphics  (8086:9a49),"Realtek Semiconductor Co., Ltd. RTL8723DE 802.11b/g/n PCIe Adapter  (10ec:d723)"
