bios,bluetooth,link,name,network,processor,system,usb,video,wireless
Dell 0.3.8,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28843/20.04%20LTS,Dell Precision 5550,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f),Intel Corp. Tiger Lake-H Thunderbolt NHI #1  (8086:9a21)","nVidia GA107GLM  (10de:25b8),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.4.4,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202104-28891/20.04%20LTS,Dell Precision 5550,,Intel Corp. Intel(R) Xeon(R) W-11955M CPU @ 2.60GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #1  (8086:9a21)","nVidia GA107GLM  (10de:25b8),Intel Corp. 8086:9a70  (8086:9a70)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 1.5.0,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202002-27725/20.04%20LTS,Dell Precision 5550,,Intel Corp. Intel(R) Xeon(R) W-10855M CPU @ 2.80GHz,Dell Precision 5750,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec),SanDisk 0781:55a3  (0781:55a3)","nVidia TU117GLM [Quadro T2000 Mobile / Max-Q]  (10de:1fb8),Intel Corp. 8086:9bf6  (8086:9bf6)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 0.3.8,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28844/20.04%20LTS,Dell Precision 5550,,Intel Corp. 11th Gen Intel(R) Core(TM) i7-11600H @ 2.90GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f),Intel Corp. Tiger Lake-H Thunderbolt NHI #1  (8086:9a21)","nVidia GA104  (10de:24b8),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.3.8,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28840/20.04%20LTS,Dell Precision 3561,,Intel Corp. 11th Gen Intel(R) Core(TM) i5-11500H @ 2.90GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f),Intel Corp. Tiger Lake-H Thunderbolt NHI #1  (8086:9a21)",Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60),Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.4.4,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202104-28907/20.04%20LTS,Dell Latitude 7520,,Intel Corp. 11th Gen Intel(R) Core(TM) i9-11900H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #1  (8086:9a21)","nVidia TU117GLM [T1200 Laptop GPU]  (10de:1fbc),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.7.1,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202001-27665/20.04%20LTS,Dell Latitude 7520,,Intel Corp. Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,Dell Precision 5550,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)",Intel Corp. UHD Graphics  (8086:9bc4),Intel Corp. Wireless AX201  (8086:06f0)
Dell 0.4.4,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202104-28892/20.04%20LTS,Dell Latitude 7520,,Intel Corp. 11th Gen Intel(R) Core(TM) i9-11900H @ 2.50GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #1  (8086:9a21)","nVidia GA107GLM  (10de:25b8),Intel Corp. TigerLake GT2 [Iris Xe Graphics]  (8086:9a60)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.7.1,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202001-27667/20.04%20LTS,Dell Precision 5550,,Intel Corp. Intel(R) Core(TM) i9-10880H CPU @ 2.30GHz,Dell Precision 5550,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 4C 2018]  (8086:15ec)","nVidia TU117GLM [Quadro T2000 Mobile / Max-Q]  (10de:1fb8),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
Dell 0.3.22,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202103-28815/20.04%20LTS,Dell Precision 5550,Intel Corp. Ethernet Connection (14) I219-LM  (8086:15f9),Intel Corp. Intel(R) Xeon(R) W-11855M CPU @ 3.20GHz,,"Intel Corp. Tiger Lake-H USB 3.2 Gen 2x1 xHCI Host Controller  (8086:43ed),Intel Corp. Tiger Lake-H Thunderbolt USB Controller  (8086:9a17),Intel Corp. Tiger Lake-H Thunderbolt NHI #0  (8086:9a1f)","nVidia TU117GLM [T1200 Laptop GPU]  (10de:1fbc),Intel Corp. 8086:9a70  (8086:9a70)",Intel Corp. Wi-Fi 6 AX201  (8086:43f0)
Dell 0.4.23,Intel Corp. 8087:0026  (8087:0026),https://ubuntu.com/certified/202002-27718/20.04%20LTS,Dell Precision 5550,Intel Corp. Ethernet Connection (11) I219-LM  (8086:0d4c),Intel Corp. Intel(R) Core(TM) i5-10400H CPU @ 2.60GHz,Dell Precision 3551,"Intel Corp. Comet Lake USB 3.1 xHCI Host Controller  (8086:06ed),Intel Corp. JHL7540 Thunderbolt 3 USB Controller [Titan Ridge 2C 2018]  (8086:15e9)","nVidia GP107GLM [Quadro P620]  (10de:1cbd),Intel Corp. UHD Graphics  (8086:9bc4)",Intel Corp. Wireless AX201  (8086:06f0)
